Processing lilygo-t-display-s3 (platform: espressif32; board: lilygo-t-display-s3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
e: 39.66 | Pressure: -0.03 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 43.99 | Pressure: 1.38 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 44.01 | Pressure: 1.40 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 44.03 | Pressure: 1.44 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 44.05 | Pressure: 1.37 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 44.07 | Pressure: 1.42 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 44.09 | Pressure: 1.50 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 44.10 | Pressure: 1.48 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 44.12 | Pressure: 1.53 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 44.14 | Pressure: 1.55 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 44.16 | Pressure: 1.52 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 44.18 | Pressure: 1.62 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 44.19 | Pressure: 1.54 | Solenoid: PRESSURIZE
